4_37448_Bacteria	UP000502041
4_53483_Bacteria	UP000239522
5_1258546_Bacteria	UP000287023
5_43661_Bacteria	UP000250123
7_78556_Bacteria	UP000242890
10_101383_Bacteria	UP000486602
10_1073423_Bacteria	UP000193435
10_1424659_Bacteria	UP000298252
10_1424661_Bacteria	UP000297654
10_200475_Bacteria	UP000293952
10_227605_Bacteria	UP000294360
10_238834_Bacteria	UP000342249
10_271096_Bacteria	UP000267448
10_271099_Bacteria	UP000282060
10_28229_Bacteria	UP000243053
10_2880_Eukaryota	UP000002630
10_41988_Bacteria	UP000298218
10_45610_Bacteria	UP000059847
10_49280_Bacteria	UP000248987
10_89402_Bacteria	UP000321917
10_995038_Bacteria	UP000199681
11_178355_Bacteria	UP000199274
11_178356_Bacteria	UP000184092
11_728004_Bacteria	UP000571084
12_271157_Bacteria	UP000184036
12_45611_Bacteria	UP000321903
12_52704_Bacteria	UP000239471
12_728005_Bacteria	UP000182258
13_1459_Bacteria	UP000037109
13_168935_Bacteria	UP000264753
13_425514_Bacteria	UP000198850
13_49278_Bacteria	UP000321938
13_80852_Bacteria	UP000464252
13_80854_Bacteria	UP000032438
15_1001240_Bacteria	UP000029864
15_102_Bacteria	UP000239068
15_13290_Eukaryota	UP000077671
15_13291_Eukaryota	UP000077684
15_150120_Bacteria	UP000278035
15_1706046_Bacteria	UP000295367
15_180441_Bacteria	UP000280091
15_188908_Bacteria	UP000227088
15_229205_Bacteria	UP000184020
15_249408_Bacteria	UP000186607
15_253703_Bacteria	UP000077355
15_264736_Bacteria	UP000240987
15_271156_Bacteria	UP000280368
15_2898_Eukaryota	UP000243423
15_307507_Eukaryota	UP000247498
15_360422_Bacteria	UP000287872
15_38038_Eukaryota	UP000177625
15_39966_Eukaryota	UP000076154
15_40269_Bacteria	UP000464212
15_47790_Eukaryota	UP000236333
15_480520_Bacteria	UP000031842
15_551459_Bacteria	UP000186246
15_56799_Bacteria	UP000264336
15_688_Bacteria	UP000093523
15_748908_Bacteria	UP000524237
15_75058_Eukaryota	UP000051952
16_25_Bacteria	UP000318126
16_266748_Bacteria	UP000270036
16_266749_Bacteria	UP000031473
16_56192_Bacteria	UP000241954
16_670054_Bacteria	UP000537260
16_670078_Bacteria	UP000247832
16_670079_Bacteria	UP000523000
16_718193_Bacteria	UP000199527
17_1032_Bacteria	UP000321106
17_1904862_Bacteria	UP000287218
17_335020_Bacteria	UP000323300
17_69322_Bacteria	UP000184260
18_1476_Bacteria	UP000071057
18_1835254_Bacteria	UP000061135
18_2903_Eukaryota	UP000013827
18_417367_Bacteria	UP000294292
18_431489_Bacteria	UP000547973
18_459471_Bacteria	UP000317519
18_659_Bacteria	UP000241618
18_96345_Bacteria	UP000197034
18_990371_Bacteria	UP000199226
19_35688_Eukaryota	UP000324585
19_53414_Bacteria	UP000239939
20_1005944_Bacteria	UP000199004
20_1005945_Bacteria	UP000198649
20_1038014_Bacteria	UP000198521
20_105612_Bacteria	UP000321659
20_1125876_Bacteria	UP000198931
20_1157962_Eukaryota	UP000232323
20_1160_Bacteria	UP000464949
20_1172189_Eukaryota	UP000006077
20_119641_Bacteria	UP000199263
20_1215089_Bacteria	UP000092687
20_1280837_Eukaryota	UP000245771
20_133412_Eukaryota	UP000187283
20_136072_Bacteria	UP000299367
20_1380763_Bacteria	UP000052954
20_1420851_Bacteria	UP000191980
20_1460663_Eukaryota	UP000077069
20_1461_Bacteria	UP000248646
20_150146_Bacteria	UP000198951
20_1529066_Bacteria	UP000305233
20_153266_Bacteria	UP000321497
20_153267_Bacteria	UP000321945
20_164393_Bacteria	UP000238739
20_178399_Bacteria	UP000249898
20_182141_Bacteria	UP000520090
20_1872390_Bacteria	UP000231627
20_1872435_Bacteria	UP000228995
20_1902408_Bacteria	UP000243083
20_1905676_Bacteria	UP000260993
20_227086_Eukaryota	UP000243425
20_229204_Bacteria	UP000183658
20_238540_Bacteria	UP000256405
20_246191_Bacteria	UP000199053
20_249351_Bacteria	UP000253676
20_249352_Bacteria	UP000077164
20_254356_Bacteria	UP000272908
20_254357_Bacteria	UP000193900
20_28230_Bacteria	UP000184758
20_291045_Bacteria	UP000246303
