1000566_Bacteria_37	UP000569329
1001240_Bacteria_15	UP000029864
1001240_Bacteria_15	UP000561726
1003110_Bacteria_28	UP000053246
1003_Bacteria_30	UP000199513
1004279_Bacteria_30	UP000198894
1004304_Bacteria_45	UP000249720
100469_Bacteria_37	UP000280444
1004_Bacteria_29	UP000183788
1004_Bacteria_29	UP000535672
1004_Bacteria_30	UP000183788
1004_Bacteria_30	UP000535672
1005740_Bacteria_37	UP000295066
1005928_Bacteria_25	UP000198599
1005944_Bacteria_20	UP000199004
1005945_Bacteria_20	UP000198649
1006155_Bacteria_30	UP000223060
1006155_Bacteria_30	UP000564536
1006576_Bacteria_55	UP000032809
1007092_Bacteria_28	UP000524471
1007099_Bacteria_28	UP000243778
1007099_Bacteria_28	UP000249198
1007511_Bacteria_28	UP000325933
1007676_Bacteria_30	UP000036106
1008153_Archaea_37	UP000075321
100816_Eukaryota_26	UP000078237
100861_Eukaryota_25	UP000481153
100884_Bacteria_37	UP000003157
100_Bacteria_27	UP000295030
100_Bacteria_27	UP000267918
1010610_Bacteria_28	UP000321750
1010611_Bacteria_25	UP000316030
101091_Eukaryota_24	UP000093000
1010_Bacteria_25	UP000199201
1010_Bacteria_27	UP000199201
101127_Eukaryota_24	UP000242146
101201_Eukaryota_24	UP000243598
101383_Bacteria_10	UP000486602
101564_Bacteria_29	UP000182413
101571_Bacteria_30	UP000494131
101571_Bacteria_30	UP000067565
101571_Bacteria_30	UP000067765
101571_Bacteria_30	UP000066241
101571_Bacteria_30	UP000243680
101571_Bacteria_30	UP000065521
101571_Bacteria_30	UP000062998
101571_Bacteria_30	UP000064029
101571_Bacteria_30	UP000065504
101571_Bacteria_30	UP000061483
101571_Bacteria_30	UP000064102
101571_Bacteria_30	UP000274995
101571_Bacteria_30	UP000060630
101571_Bacteria_30	UP000187194
101571_Bacteria_30	UP000183092
101571_Bacteria_30	UP000067740
101571_Bacteria_30	UP000067049
1015_Bacteria_33	UP000270205
1015_Bacteria_33	UP000255515
1015_Bacteria_34	UP000270205
1015_Bacteria_34	UP000255515
1017270_Bacteria_30	UP000054099
1017273_Bacteria_30	UP000186385
1017277_Bacteria_29	UP000053797
1017_Bacteria_37	UP000217250
1018_Bacteria_37	UP000250169
1018_Bacteria_37	UP000249891
1018_Bacteria_37	UP000276733
1019_Bacteria_37	UP000217301
1019_Bacteria_37	UP000217334
1019_Bacteria_37	UP000218560
1019_Bacteria_37	UP000276174
102148_Bacteria_37	UP000284731
102684_Bacteria_36	UP000255352
102684_Bacteria_36	UP000058134
1027249_Bacteria_30	UP000184184
1027633_Bacteria_28	UP000319746
102862_Bacteria_34	UP000183920
1028_Bacteria_27	UP000193804
1028_Bacteria_28	UP000193804
102_Bacteria_15	UP000239068
1031541_Bacteria_37	UP000198426
