seq_id               N_mean       N_averaged_per_tok    N_delta                C_mean       C_averaged_per_tok   C_delta
Adurb193             0.47113433   0.47558844408837697   0.004454114088376981   0.11465784   0.1736565962847033   0.058998756284703316
Adurb336             0.31247938   0.3417372121644972    0.029257832164497233   0.20662884   0.2673281709632158   0.06069933096321581
As                   0.06990649   0.10492428337401961   0.03501779337401961    0.050461654  0.09318012099941045  0.04271846699941045
Cas12a__set_1_1      0.5348894    0.5261982452887501    0.008691154711249816   0.1280681    0.18219182243968685  0.054123722439686855
Cas12a__set_1_10     0.21134569   0.24879610744182976   0.03745041744182975    0.44349393   0.4573527013857795   0.013858771385779511
Cas12a__set_1_11     0.48434442   0.48792171491472885   0.003577294914728857   0.52423793   0.526043187431925    0.0018052574319250558
Cas12a__set_1_12     0.33682832   0.3638360813895424    0.027007761389542362   0.5575378    0.5462713584564222   0.01126644154357781
Cas12a__set_1_13     0.06020826   0.0862647145891656    0.026056454589165598   0.17549899   0.2349734519929865   0.059474461992986505
Cas12a__set_1_14     0.07925181   0.12010875710149448   0.04085694710149447    0.105614305  0.16479435464764725  0.05918004964764724
Cas12a__set_1_15     0.21067381   0.2533733534090912    0.042699543409091184   0.200548     0.2638109783512416   0.06326297835124162
Cas12a__set_1_16     0.8500737    0.8038522100522875    0.04622148994771258    0.19299099   0.25711837580894126  0.06412738580894126
Cas12a__set_1_17     0.14885445   0.18954732721204517   0.040692877212045175   0.26097327   0.3103813950647058   0.04940812506470582
Cas12a__set_1_18     0.18479775   0.22947373251028258   0.04467598251028257    0.81761444   0.7631103026433567   0.05450413735664339
Cas12a__set_1_19     0.121409155  0.1680286595259791    0.046619504525979086   0.25956023   0.31414866111330264  0.05458843111330264
Cas12a__set_1_2      0.07038312   0.10292715099589052   0.032544030995890524   0.1875426    0.24898619559547516  0.06144359559547516
Cas12a__set_1_20     0.07406812   0.10970908518785537   0.03564096518785537    0.11040386   0.1751587212748869   0.0647548612748869
Cas12a__set_1_21     0.121409364  0.1680286595259791    0.046619295525979085   0.25955936   0.31414796340699525  0.05458860340699523
Cas12a__set_1_22     0.07406818   0.10970908518785537   0.03564090518785537    0.11040386   0.1751587212748869   0.0647548612748869
Cas12a__set_1_23     0.40808085   0.4257769904098139    0.017696140409813932   0.7898962    0.7303671237535889   0.05952907624641113
Cas12a__set_1_24     0.41670358   0.4314427848179523    0.014739204817952267   0.3568213    0.39134119749046975  0.03451989749046974
Cas12a__set_1_25     0.30201644   0.33713578737267086   0.03511934737267086    0.058919396  0.11870789899208524  0.05978850299208524
Cas12a__set_1_26     0.576786     0.559979214183486     0.01680678581651407    0.26823702   0.3178929694257074   0.04965594942570739
Cas12a__set_1_27     0.10378697   0.1497713359906567    0.045984365990656695   0.28554994   0.32971492123469376  0.044164981234693756
Cas12a__set_1_28     0.14091933   0.18123828168293638   0.040318951682936366   0.18417525   0.23891700192283083  0.05474175192283082
Cas12a__set_1_29     0.63860196   0.6155768054383736    0.02302515456162646    0.9657051    0.9283096370898619   0.037395462910138066
Cas12a__set_1_3      0.06457567   0.09463039971070991   0.03005472971070991    0.18100175   0.24147539604592758  0.06047364604592759
Cas12a__set_1_30     0.06728219   0.09673952390938304   0.02945733390938303    0.2515834    0.3035203484004516   0.0519369484004516
Cas12a__set_1_31     0.33169967   0.3589545456967319    0.027254875696731906   0.23705354   0.30386225997633415  0.06680871997633414
Cas12a__set_1_32     0.14851704   0.19538711778844198   0.04687007778844199    0.26253563   0.30992095248798207  0.04738532248798205
Cas12a__set_1_33     0.11127051   0.15430458193781416   0.04303407193781415    0.26253563   0.30992095248798207  0.04738532248798205
Cas12a__set_1_34     0.13113321   0.1772380441252513    0.04610483412525129    0.28827727   0.3320753057868482   0.04379803578684821
Cas12a__set_1_35     0.12742817   0.17179367719786431   0.04436550719786431    0.31488135   0.35481684032199573  0.039935490321995726
Cas12a__set_1_36     0.55935603   0.5478789758691862    0.01147705413081379    0.58530337   0.5688927268753116   0.01641064312468843
Cas12a__set_1_37     0.6460013    0.6220807727500002    0.023920527249999823   0.4201267    0.43979021755517284  0.019663517555172816
Cas12a__set_1_38     0.19159524   0.23206385822330092   0.04046861822330092    0.7788351    0.724951107457275    0.05388399254272502
Cas12a__set_1_39     0.12994054   0.16568403802386938   0.03574349802386939    0.4007833    0.42552552945727057  0.02474222945727056
Cas12a__set_1_4      0.102784656  0.14015385330726116   0.037369197307261154   0.08714057   0.14099001940890382  0.05384944940890382
Cas12a__set_1_40     0.19159545   0.23206385822330092   0.04046840822330092    0.7446136    0.6976300690161664   0.046983530983833566
Cas12a__set_1_41     0.19774817   0.23780096632566367   0.040052796325663664   0.37234923   0.4083320933157534   0.0359828633157534
Cas12a__set_1_42     0.13961789   0.18128958847230958   0.04167169847230959    0.59053373   0.5581005677368426   0.0324331622631574
Cas12a__set_1_43     0.11461566   0.1582349787948494    0.04361931879484941    0.3007348    0.34306650852585013  0.04233170852585011
Cas12a__set_1_44     0.08428004   0.11791742378273584   0.03363738378273584    0.100839555  0.15874547916337095  0.05790592416337095
Cas12a__set_1_45     0.31145054   0.3414476877313058    0.029997147731305795   0.4606244    0.4790639151086755   0.01843951510867553
Cas12a__set_1_46     0.13040832   0.18093334604283912   0.05052502604283912    0.31545237   0.36533557623532054  0.049883206235320554
Cas12a__set_1_47     0.063850716  0.09401798351916675   0.03016726751916675    0.147101     0.2096617858877357   0.0625607858877357
Cas12a__set_1_48     0.032926943  0.05045156383695937   0.017524620836959368   0.23265694   0.28749106805664343  0.05483412805664342
Cas12a__set_1_49     0.10757812   0.14504393201432467   0.03746581201432467    0.25295943   0.3043801806393796   0.05142075063937962
Cas12a__set_1_5      0.22653262   0.27302791341115445   0.046495293411154465   0.124192685  0.19030781091469934  0.06611512591469934
Cas12a__set_1_50     0.08656895   0.13289544361358982   0.046326493613589814   0.03915561   0.0792736405921267   0.0401180305921267
Cas12a__set_1_51     0.037729885  0.058693373991078476  0.02096348899107848    0.13101082   0.19133177803698864  0.06032095803698864
Cas12a__set_1_52     0.04077564   0.06315704800940858   0.022381408009408577   0.15860598   0.22066237940112365  0.062056399401123646
Cas12a__set_1_53     0.048084788  0.07377022629999998   0.025685438299999974   0.15860598   0.22066237940112365  0.062056399401123646
Cas12a__set_1_54     0.8914549    0.8392311183933515    0.052223781606648534   0.3673227    0.39720288737378645  0.02988018737378645
Cas12a__set_1_55     0.15439759   0.1876366468288044    0.0332390568288044     0.33099684   0.3765708315770833   0.045573991577083306
Cas12a__set_1_56     0.034941792  0.05631347445820904   0.021371682458209043   0.08807964   0.14760035456171616  0.05952071456171616
Cas12a__set_1_57     0.28099844   0.3157971887082227    0.03479874870822269    0.19802272   0.2628225069555296   0.0647997869555296
Cas12a__set_1_58     0.1563309    0.19745813000623427   0.04112723000623428    0.06716563   0.11633520531826888  0.04916957531826888
Cas12a__set_1_59     0.22428498   0.2649939318846656    0.040708951884665584   0.12050005   0.1854020545752863   0.0649020045752863
Cas12a__set_1_6      0.10585503   0.13879254373279562   0.03293751373279562    0.844841     0.7747497568146339   0.07009124318536608
Cas12a__set_1_60     0.24740188   0.2886846815092225    0.041282801509222505   0.20236482   0.2594619084884525   0.05709708848845252
Cas12a__set_1_61     0.21017334   0.2541895512163119    0.04401621121631194    0.34976527   0.38986602693819966  0.040100756938199644
Cas12a__set_1_62     0.34180722   0.37230812333112606   0.03050090333112604    0.2847381    0.33159093972790726  0.04685283972790727
Cas12a__set_1_63     0.31102476   0.34643861811655596   0.03541385811655595    0.2847381    0.33159093972790726  0.04685283972790727
Cas12a__set_1_64     0.13321702   0.17641785111383265   0.04320083111383266    0.10013006   0.1524991085029754   0.0523690485029754
Cas12a__set_1_65     0.15961099   0.20441344602756012   0.04480245602756011    0.10013006   0.1524991085029754   0.0523690485029754
