seq_id               N_mean       N_averaged_per_tok    N_delta                C_mean      C_averaged_per_tok   C_delta
5U33_A_84            0.22132063   0.2785115033269615    0.05719087332696152    0.6801501   0.6538603651074255   0.026289734892574468
AaCas12b_79          0.19363864   0.24069988025806463   0.04706124025806463    0.94675314  0.9177718520695106   0.028981287930489374
Cas12b__set_3_10_44  0.49388522   0.4962892890886594    0.0024040690886593663  0.5984956   0.5793277085379542   0.019167891462045783
Cas12b__set_3_11_4   0.6333994    0.6119241717991165    0.021475228200883434   0.6589603   0.6214019495893471   0.03755835041065292
Cas12b__set_3_12_5   0.12161684   0.16443823348118158   0.04282139348118158    0.88007766  0.8467056952677025   0.03337196473229753
Cas12b__set_3_13_68  0.40828973   0.4252076134112904    0.016917883411290358   0.67354083  0.6342965488842437   0.039244281115756285
Cas12b__set_3_14_67  0.4263009    0.43849382720564495   0.012192927205644966   0.67354083  0.6342965488842437   0.039244281115756285
Cas12b__set_3_15_65  0.19859807   0.23702537110080643   0.038427301100806444   0.94644487  0.9109103478486309   0.0355345221513691
Cas12b__set_3_16_51  0.37880355   0.3989893087861509    0.02018575878615092    0.9666766   0.9373431123278696   0.0293334876721304
Cas12b__set_3_17_42  0.89726436   0.8484044756584362    0.04885988434156374    0.72854143  0.6803152427533103   0.0482261872466897
Cas12b__set_3_18_48  0.99663854   0.992686193353659     0.003952346646340921   0.91201836  0.8668704610631226   0.04514789893687743
Cas12b__set_3_19_47  0.9928       0.984800106829268     0.00799989317073202    0.9014047   0.8542522716112956   0.04715242838870437
Cas12b__set_3_1_34   0.014041851  0.022956385980612264  0.008914534980612265   0.71139365  0.659640139571913    0.05175351042808696
Cas12b__set_3_20_23  0.47613034   0.48373709234171886   0.00760675234171887    0.4992989   0.5040162448936529   0.004717344893652942
Cas12b__set_3_21_17  0.026247542  0.041948448081974225  0.015700906081974227   0.7994774   0.7409583596832198   0.058519040316780235
Cas12b__set_3_23_1   0.060909625  0.07999331553364931   0.019083690533649313   0.66971135  0.6309121014776861   0.03879924852231398
Cas12b__set_3_2_37   0.00972239   0.015403979169510194  0.005681589169510195   0.7037719   0.6483972625563029   0.05537463744369708
Cas12b__set_3_3_21   0.028117673  0.043279229596989745  0.015161556596989745   0.7375852   0.6721941585783966   0.06539104142160346
Cas12b__set_3_5_29   0.12285923   0.16431532985714295   0.04145609985714295    0.5653842   0.5538248358099999   0.011559364190000143
Cas12b__set_3_6_30   0.6344038    0.5983946054196236    0.036009194580376325   0.21713515  0.25999930461186466  0.04286415461186466
Cas12b__set_3_7_60   0.21664502   0.27119019964097374   0.054545179640973745   0.9467226   0.9114815256430873   0.035241074356912705
Cas12b__set_3_8_58   0.22168711   0.2675245960750508    0.04583748607505081    0.9425247   0.9103394004991953   0.03218529950080473
Cas12b__set_3_9_49   0.97099966   0.9365282194939276    0.034471440506072426   0.864526    0.8034707742         0.0610552258
MBX6353558.1_75      0.49616417   0.48918109061067166   0.0069830793893283505  0.70282584  0.6599601156714976   0.04286572432850244
SFU30094.1_94        0.49521363   0.49289749311523345   0.002316136884766562   0.75866026  0.7066644631075947   0.0519957968924053
WP_021296342.1_80    0.1997818    0.2593720646945564    0.059590264694556416   0.9638812   0.9348331599210116   0.029048040078988424
WP_067936067.1_97    0.23739877   0.2683747184613901    0.030975948461390096   0.9612558   0.9295178296343398   0.03173797036566017
WP_139234486.1_92    0.48676735   0.4855848410294118    0.001182508970588192   0.75866026  0.7066644631075947   0.0519957968924053
WP_146824402.1_83    0.043305494  0.06960702035282249   0.026301526352822485   0.96622765  0.940810757996847    0.025416892003153002
WP_206885894.1_78    0.6912077    0.6625749167579357    0.028632783242064308   0.7347798   0.6911331546137826   0.04364664538621743
WP_206918966.1_81    0.04926423   0.07793479765887096   0.02867056765887096    0.9712521   0.9474245238643524   0.023827576135647566
WP_206922773.1_82    0.043305494  0.06960702035282249   0.026301526352822485   0.96730745  0.9421815949842277   0.025125855015772247
